product_id,id_web,price,total_sales,post_title,z_score
4115,15382,100.0,0,Zind-Humbrecht Riesling Grand Cru Rangen De Thann Clos Saint-Urbain 2017,2.427385420938595
4132,11668,88.4,0,Zind-Humbrecht Pinot Gris Grand Cru Rangen De Thann Clos Saint-Urbain 2012,2.0102771487143416
4352,15940,225.0,5,Champagne Egly-Ouriet Grand Cru Millésimé 2008,6.922086630251679
4355,12589,126.5,11,Champagne Egly-Ouriet Grand Cru Blanc de Noirs,3.380262077312969
4402,3510,176.0,13,Cognac Frapin VIP XO,5.16016375620095
4404,3507,108.5,2,Cognac Frapin Château de Fontpinot XO,2.733025103171885
4406,7819,157.0,0,Cognac Frapin Château de Fontpinot 1989 20 Ans d'Age,4.4769691723853615
4407,3509,104.0,1,Cognac Frapin Cigar Blend,2.571215859636614
4582,12857,109.6,0,Château de Meursault Puligny-Montrachet 1er Cru Champ Canet 2014,2.77257847381384
4903,14805,102.3,0,Domaine Des Croix Corton Grand Cru Les Grèves 2017,2.5100879231899564
4904,14220,137.0,5,Domaine Des Croix Corton Charlemagne Grand Cru 2016,3.757816978895268
5001,14581,217.5,0,David Duband Charmes-Chambertin Grand Cru 2014,6.652404557692893
5007,12791,105.0,0,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2014,2.607173469311119
5008,11602,105.0,0,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2013,2.607173469311119
5025,13914,112.0,0,Champagne Agrapart &amp; Fils L'Avizoise Extra Brut Blanc de Blancs Grand Cru 2012,2.8588767370326513
5565,19822,92.0,0,Tempier Bandol Cabassaou 2017,2.1397245435425583
5612,14915,124.8,0,Domaine Weinbach Gewurztraminer Grand Cru Furstentum SGN 2010 1/2,3.3191341408663115
5767,15185,175.0,0,Camille Giroud Clos de Vougeot 2016,5.124206146526445
5892,14983,191.3,3,Coteaux Champenois Egly-Ouriet Ambonnay Rouge 2016,5.710315184220872
5916,14774,93.0,0,Wemyss Malts Single Cask Scotch Whisky Chocolate Moka Cake 2005 Strathclyde,2.175682153217063
5917,14775,122.0,0,Wemyss Malts Single Cask Scotch Whisky Choc 'n' Nut Pretzel 2001 Bunnahabhain,3.218452833777698
5918,14773,114.0,0,Wemyss Malts Single Cask Scotch Whisky Chai Caramel Latte 2002 Craigellachie,2.9307919563816607
6126,14923,135.0,2,Champagne Gosset Célébris Vintage 2007,3.6859017595462586
6201,14596,105.6,0,David Duband Chambolle-Musigny 1er Cru Les Sentiers 2016,2.6287480351158212
6202,15126,116.4,0,Domaine Clerget Echezeaux Grand Cru En Orveaux 2015,3.017090219600472
6212,13996,115.0,2,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2015,2.9667495660561656
6213,15072,121.0,0,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2016,3.182495224103193
6214,11601,99.0,0,Domaine des Comtes Lafon Volnay 1er Cru Champans 2013,2.3914278112640908
6215,12790,115.0,0,Domaine des Comtes Lafon Volnay 1er Cru Champans 2014,2.9667495660561656
6216,15070,121.0,0,Domaine des Comtes Lafon Volnay 1er Cru Champans 2016,3.182495224103193
